Title:,Outer,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-0.103361,0.873712,0.01751,,,,,,
-0.084843,0.880759,0.010999,,,,,,
-0.03805,0.874957,0.002808,,,,,,
-0.03371,0.880399,-0.005163,,,,,,
-0.025006,0.875731,-0.016241,,,,,,
0.005579,0.879296,-0.025639,,,,,,
0.05735,0.876865,-0.028273,,,,,,
0.062639,0.878762,-0.029832,,,,,,
0.055588,0.875954,-0.02813,,,,,,
0.053076,0.87844,-0.022037,,,,,,
0.088865,0.876567,-0.014401,,,,,,
0.070397,0.877659,-0.006456,,,,,,
0.063114,0.877322,0.000136,,,,,,
0.051164,0.87747,0.008357,,,,,,
0.044819,0.877724,0.014429,,,,,,
0.030701,0.87787,0.017067,,,,,,
0.056551,0.877557,0.017074,,,,,,
0.081504,0.877283,0.011369,,,,,,
0.032622,0.877161,0.006542,,,,,,
0.005475,0.877321,-0.004805,,,,,,
0.032473,0.876749,-0.007818,,,,,,
0.029237,0.876849,-0.017886,,,,,,
0.010274,0.877104,-0.020118,,,,,,
0.032707,0.87727,-0.021263,,,,,,
0.007069,0.877025,-0.017868,,,,,,
-0.047293,0.877139,-0.010601,,,,,,
-0.042996,0.877376,-0.001579,,,,,,
-0.010743,0.876905,0.00692,,,,,,
-0.088994,0.876383,0.014196,,,,,,
-0.118379,0.876329,0.019939,,,,,,
-0.103092,0.876444,0.023404,,,,,,
-0.115078,0.876436,0.022278,,,,,,
-0.113478,0.876346,0.02,,,,,,
-0.05563,0.876508,0.010904,,,,,,
-0.019864,0.876131,0.004757,,,,,,
-0.054106,0.876192,-0.005614,,,,,,
-0.035448,0.87618,-0.011821,,,,,,
0.020611,0.875907,-0.017871,,,,,,
0.039994,0.87591,-0.019934,,,,,,
0.038953,0.876011,-0.019319,,,,,,
0.052873,0.874922,-0.016523,,,,,,
0.05204,0.875798,-0.013621,,,,,,
0.045472,0.875688,-0.00494,,,,,,
0.066519,0.876064,0.001186,,,,,,
0.053464,0.876218,0.007222,,,,,,
0.043582,0.875839,0.01252,,,,,,
0.03468,0.875743,0.014502,,,,,,
0.057758,0.875454,0.013611,,,,,,
0.069341,0.874781,0.015388,,,,,,
0.043902,0.874739,0.012538,,,,,,
0.035076,0.874598,0.011339,,,,,,
0.041893,0.874715,0.008279,,,,,,
0.031518,0.875495,0.00561,,,,,,
0.02776,0.875502,0.004022,,,,,,
0.021686,0.875758,0.001831,,,,,,
0.007409,0.875261,0.002054,,,,,,
-0.014662,0.875239,0.001938,,,,,,
-0.018898,0.874844,0.00271,,,,,,
-0.060661,0.874522,0.004437,,,,,,
-0.082057,0.874387,0.003377,,,,,,
-0.115063,0.87451,0.006662,,,,,,
-0.138034,0.874408,0.007261,,,,,,
-0.133277,0.874441,0.009946,,,,,,
-0.097981,0.875229,0.012348,,,,,,
-0.080073,0.874654,0.011967,,,,,,
-0.056283,0.874475,0.012072,,,,,,
-0.046576,0.874476,0.008835,,,,,,
-0.032935,0.874585,0.00645,,,,,,
0.005133,0.874038,0.007253,,,,,,
0.054101,0.873823,0.005509,,,,,,
0.081401,0.873895,0.004975,,,,,,
0.068888,0.87326,0.00423,,,,,,
0.072358,0.873914,0.006121,,,,,,
