Title:,Outer,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-0.064524,0.876694,-0.034095,,,,,,
-0.08928,0.876326,-0.029308,,,,,,
-0.088088,0.876959,-0.017367,,,,,,
-0.032408,0.87647,-0.006181,,,,,,
0.015081,0.876561,0.006149,,,,,,
0.043135,0.876913,0.019891,,,,,,
0.043977,0.876772,0.024776,,,,,,
-0.026829,0.876933,0.032791,,,,,,
-0.151733,0.876249,0.030348,,,,,,
-0.194968,0.875732,0.023319,,,,,,
-0.141088,0.875622,0.007868,,,,,,
-0.05498,0.875416,-0.01025,,,,,,
0.079092,0.875863,-0.027751,,,,,,
0.22052,0.876199,-0.039046,,,,,,
0.199043,0.876392,-0.043296,,,,,,
0.084581,0.876201,-0.044945,,,,,,
-0.018405,0.876236,-0.040617,,,,,,
-0.099448,0.875918,-0.033801,,,,,,
-0.090091,0.875589,-0.02207,,,,,,
-0.010107,0.875704,-0.008691,,,,,,
0.117458,0.875338,0.007681,,,,,,
0.150887,0.875984,0.0205,,,,,,
0.135053,0.875524,0.028694,,,,,,
0.098246,0.875869,0.030314,,,,,,
0.049354,0.875801,0.024846,,,,,,
-0.038765,0.876176,0.015455,,,,,,
-0.072794,0.87653,0.001851,,,,,,
-0.048909,0.875805,-0.013952,,,,,,
-0.002089,0.874396,-0.023233,,,,,,
0.005654,0.874902,-0.032864,,,,,,
-0.002548,0.87469,-0.036777,,,,,,
-0.030333,0.874453,-0.034121,,,,,,
-0.022772,0.874617,-0.02974,,,,,,
-0.045181,0.87498,-0.022854,,,,,,
-0.065176,0.874944,-0.015279,,,,,,
-0.033306,0.875084,-0.00388,,,,,,
0.014327,0.874662,0.007451,,,,,,
0.026671,0.874528,0.021863,,,,,,
0.045796,0.874597,0.030309,,,,,,
0.021645,0.873929,0.035611,,,,,,
-0.04367,0.873773,0.033235,,,,,,
-0.105271,0.873975,0.025112,,,,,,
-0.157354,0.874863,0.012613,,,,,,
-0.132908,0.874003,-0.003944,,,,,,
-0.046848,0.874475,-0.012224,,,,,,
0.111543,0.874822,-0.021361,,,,,,
0.196235,0.874059,-0.0245,,,,,,
0.15994,0.874096,-0.028539,,,,,,
0.030272,0.873731,-0.02348,,,,,,
-0.05455,0.873875,-0.017154,,,,,,
-0.061237,0.873292,-0.005823,,,,,,
-0.03088,0.873939,0.005982,,,,,,
0.047854,0.874193,0.017172,,,,,,
0.115826,0.874572,0.030105,,,,,,
0.14905,0.874195,0.034238,,,,,,
0.133353,0.874409,0.038528,,,,,,
0.071344,0.874129,0.036876,,,,,,
-0.036814,0.874075,0.031342,,,,,,
-0.086647,0.873024,0.02353,,,,,,
-0.085591,0.873321,0.010302,,,,,,
-0.039533,0.873056,0.003325,,,,,,
-0.007888,0.872986,-0.002863,,,,,,
-0.018541,0.873367,-0.005718,,,,,,
-0.026748,0.873496,-0.009995,,,,,,
-0.018852,0.873347,-0.003137,,,,,,
-0.04259,0.873307,0.003724,,,,,,
-0.042371,0.872693,0.006678,,,,,,
-0.016027,0.872119,0.013202,,,,,,
0.019148,0.872349,0.022184,,,,,,
-0.005629,0.87253,0.032312,,,,,,
-0.020139,0.872679,0.040221,,,,,,
-0.108273,0.87236,0.04697,,,,,,
